code,station_name,type,geo_lat,geo_lng,municipality,station_code,traffic_count
SD,Soestdijk,local_train_station,52.183612823486,5.3000001907349,Soest,SD,21576.0
SBK,Spaubeek,local_train_station,50.94327,5.850529,Beek,SBK,18035.0
STV,Stavoren,local_train_station,52.8865535,5.3600212,Súdwest-Fryslân,STV,16215.0
STM,Stedum,local_train_station,53.3262092,6.6875551,Eemsdelta,STM,22768.0
SWK,Steenwijk,intercity_station,52.791510992432,6.1145557632446,Steenwijkerland,SWK,45830.0
SRN,Susteren,local_train_station,51.061389923096,5.8630557060242,Echt-Susteren,SRN,24946.0
SM,Swalmen,local_train_station,51.23582,6.03228,Roermond,SM,26269.0
TG,Tegelen,local_train_station,51.33894,6.14253,Venlo,TG,26130.0
TBG,Terborg,local_train_station,51.9224549,6.3642466,Oude IJsselstreek,TBG,25484.0
TL,Tiel,interchange_local_train_station,51.889446258545,5.4222221374512,Tiel,TL,47220.0
TPSW,Tiel Passewaaij,local_train_station,51.873889923096,5.39222240448,Tiel,TPSW,27606.0
TB,Tilburg,interchange_intercity_station,51.560554504395,5.0836110115051,Tilburg,TB,101300.0
TBR,Tilburg Reeshof,local_train_station,51.573612213135,4.9944443702698,Tilburg,TBR,23110.0
TBU,Tilburg Universiteit,local_train_station,51.564985,5.051778,Tilburg,TBU,44734.0
TWL,Twello,local_train_station,52.237777709961,6.0986108779907,Voorst,TWL,22557.0
UTG,Uitgeest,interchange_local_train_station,52.521667480469,4.7016668319702,Uitgeest,UTG,66684.0
UHZ,Uithuizen,local_train_station,53.4099568,6.6748869,Het Hogeland,UHZ,24305.0
UHM,Uithuizermeeden,local_train_station,53.4145845,6.7202975,Het Hogeland,UHM,24305.0
UST,Usquert,local_train_station,53.4014742,6.6093776,Het Hogeland,UST,24305.0
UT,Utrecht Centraal,mega_station,52.088890075684,5.1102776527405,Utrecht,UT,424116.0
UTLR,Utrecht Leidsche Rijn,local_train_station,52.09896,5.06523,Utrecht,UTLR,39659.0
UTLN,Utrecht Lunetten,local_train_station,52.06555557251,5.144166469574,Utrecht,UTLN,61070.0
UTM,Utrecht Maliebaan,local_train_station,52.087776184082,5.1313886642456,Utrecht,UTM,4788.0
UTO,Utrecht Overvecht,interchange_local_train_station,52.110000610352,5.1247220039368,Utrecht,UTO,88132.0
